toolTipVisualTemplate,"MUST BE SELECTED FOR WEAPONS. The mesh to be used as the visual template for the item. This is what the item will look like in game. If none is selected, the item will use all the meshes as one."
errorMessageManualSaveFile,Unable to set save location. Please choose a folder manually.
informationMessageDDSConversion,Converting Material Textures to DDS
informationMessageIconConversion,Converting Icons
informationMessageCombinedIconsConversion,Converting Combined Icon Image
informationMessageFinishXMLGen,Finished generating XMLs.
informationMessageFilesGenerated,Files generated.
informationMessageLocaCreation,Creating Loca File
informationColorPresetsCreation,Creating Color Presets File
informationTexturesFileCreation,Creating Textures File
informationMaterialsFileCreation,Creating Materials File
informationMeshesFileCreation,Creating Meshes File
informationRootTemplatesCreation,Creating Root Templates File
informationUIIconsCreation,Creating UI Icons File
informationTreasureTableCreation,Creating Treasure Table
informationMessageLoadingItem,Loading Item
projectFolderLabel,Project Folder
projectNameLabel,Project Name (No Spaces)
modNameLabel,Mod Name
authorLabel,Author
projectDescriptionLabel,Project Description
projectVersionNumberLabel,Project Version Number
retrievePresetsLabel,Retrieve Presets
copyPresetLabel,Copy Preset
deletePresetLabel,Delete Preset
continueLabel,Continue
convertOldProfilesLabel,Convert Old Profiles
toolTipConverOldProfiles,For converting old .ser profiles to .json profiles.
themeLabel,Theme
addNewItemLabel,Add New Item
copyItemLabel,Copy Item
removeItemLabel,Remove Item
saveLabel,Save
generateEquipmentFilesLabel,Generate Equipment Files
ignoreMaterialTexturesLabel,Ignore Material Textures
backLabel,Back
lightThemeLabel,Light
darkThemeLabel,Dark
meshLabel,Mesh
meshDescriptionLabel,The 3D model.
meshNameLabel,Mesh Name
uploadLabel,Upload
submitMeshLabel,Submit Mesh
meshUploadLabel,Mesh Upload
bodyTypesLabel,Body Types
defaultFemLabel,Default Fem
defaultMascLabel,Default Masc
strongFemLabel,Strong Fem
strongMascLabel,Strong Masc
githyankiFemLabel,Githyanki Fem
githyankiMascLabel,Githyanki Masc
dwarfFemLabel,Dwarf Fem
dwarfMascLabel,Dwarf Masc
halflingFemLabel,Halfling Fem
halflingMascLabel,Halfling Masc
gnomeFemLabel,Gnome Fem
gnomeMascLabel,Gnome Masc
dragonbornFemLabel,Dragonborn Fem
dragonbornMascLabel,Dragonborn Masc
meshBoundsLabel,Mesh Bounds
maxLabel,Max
minLabel,Min
centerLabel,Center
radiusLabel,Radius
boundsDescriptionLabel,The bounds of the 3D mesh.
submeshesLabel,Submeshes
applyMaterialToAllLabel,Apply Material to All
vertexMaskDescriptionLabel,Select the body parts that your mesh should cover.
vertexMaskLabel,Vertex Masks
itemDataLabel,ItemData
warningLabel,Warning
materialLabel,Material
submeshLabel,Submesh
lodLabel,LOD
loadingLabel,Loading
proficiencyGroupsLabel,Proficiency Groups
boostsLabel,Boosts
passivesLabel,Passives
defaultBoostsLabel,Default Boosts
boostsMainHandLabel,Boosts Main Hand
passivesMainHandLabel,Passives Main Hand
weaponPropertiesLabel,Weapon Properties
armorClassLabel,Armor Class
armorClassAbilityLabel,Armor Class Ability
abilityModifierCapLabel,Ability Modifier Cap
armorTypeLabel,Armor Type
minimumLevelLabel,Minimum Level
uniqueLabel,Unique
damageLabel,Damage
levelLabel,Level
weaponGroupLabel,Weapon Group
versatileDamageLabel,Versatile Damage
damageRangeLabel,Damage Range
weaponRangeLabel,Weapon Range
customProjectileLabel,Custom Projectile
instrumentTypeLabel,Instrument Type
statsLabel,Stats
submitStatsLabel,Submit Stats
colorPresetsDescriptionLabel,"To set your default color preset for the tintable mesh, click on the square under its description."
clothPrimaryLabel,Cloth Primary
clothSecondaryLabel,Cloth Secondary
clothTertiaryLabel,Cloth Tertiary
leatherPrimaryLabel,Leather Primary
leatherSecondaryLabel,Leather Secondary
leatherTertiaryLabel,Leather Tertiary
metalPrimaryLabel,Metal Primary
metalSecondaryLabel,Metal Secondary
metalTertiaryLabel,Metal Tertiary
accentColorLabel,Accent Color
customColor1Label,Custom Color 1
customColor2Label,Custom Color 2
submitLabel,Submit
nonTintableLabel,Non-Tintable
tintableLabel,Tintable
normalMapLabel,Normal Map
physicalMapLabel,Physical Map
clothMaskLabel,Cloth Mask
gameMaterialUUIDLabel,Game Material UUID
materialNameLabel,Material Name
gameUUIDLabel,Game UUID
nonTintableItemNameLabel,Non-Tintable Item Name
tintableItemNameLabel,Tintable Item Name
itemDescriptionLabel,Item Description
iconLabel,Icon
equipmentTypeLabel,Equipment Type
itemWeightLabel,Item Weight
valueLabel,Value
rarityLabel,Rarity
setStatsLabel,Set Stats
colorPresetLabel,Color Preset
visualTemplateMeshLabel,Visual Template Mesh
submitItemLabel,Submit Item
itemInformationLabel,Item Information
itemTypeLabel,Item Type
itemSubtypeLabel,Item Subtype
languageLabel,Language
changeLanguageLabel,Change Language
informationMessageRestartProgram,Please restart the program to see changes.
errorMessageInvalidProjectVersionNumber,Invalid project version number. Please use the version calculator from the BG3 Modder's Multitool.
